,location_id,location_name,sub_population,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,u5_applicable,wra_applicable
0,179,Ethiopia,,maize flour,percent of population eating vehicle,na,59.26384836,24.95031721,93.5773795,True,True
1,179,Ethiopia,,maize flour,percent of population eating industrially produced vehicle,na,27.16751404,11.43763208,42.89739601,True,True
2,179,Ethiopia,,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
3,179,Ethiopia,,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True
4,179,Ethiopia,,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
5,179,Ethiopia,,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
6,179,Ethiopia,,oil,percent of population eating vehicle,na,29.35,27.3042463,31.3957537,True,True
7,179,Ethiopia,under-5,oil,percent of population eating industrially produced vehicle,na,70.0,64.07069101,75.92930899,True,False
8,179,Ethiopia,women of reproductive age,oil,percent of population eating industrially produced vehicle,na,50.0,45.76477929,54.23522071,False,True
10,179,Ethiopia,,wheat flour,percent of population eating vehicle,na,28.0,13.776167999999998,42.223832,True,True
11,179,Ethiopia,under-5,wheat flour,percent of population eating industrially produced vehicle,na,27.0,23.210993,30.789007,True,False
12,179,Ethiopia,women of reproductive age,wheat flour,percent of population eating industrially produced vehicle,na,20.0,17.19332815,22.80667185,False,True
13,179,Ethiopia,,wheat flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
14,179,Ethiopia,,wheat flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True
15,179,Ethiopia,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
16,179,Ethiopia,,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
17,163,India,0-24 months,oil,percent of population eating vehicle,na,99.999,99.0,100.0,True,True
18,163,India,0-24 months,oil,percent of population eating industrially produced vehicle,na,89.4,87.0,91.8,True,True
20,163,India,0-24 months,wheat flour,percent of population eating vehicle,na,83.2,79.5,86.5,True,True
21,163,India,0-24 months,wheat flour,percent of population eating industrially produced vehicle,na,7.1,5.6,9.1,True,True
22,163,India,0-24 months,wheat flour,percent of population eating fortified vehicle,folic acid,6.3,4.8,7.9,True,True
23,163,India,0-24 months,wheat flour,percent of population eating fortified vehicle,iron,6.3,4.8,7.9,True,True
24,163,India,,wheat flour,percent of population eating fortified vehicle,vitamin a,2.133333333,1.0496128,3.2170538669999997,True,True
25,163,India,,wheat flour,percent of population eating fortified vehicle,zinc,2.133333333,1.0496128,3.2170538669999997,True,True
26,214,Nigeria,total population,maize flour,percent of population eating vehicle,na,57.41546151,54.86711435,60.03347811,True,True
27,214,Nigeria,total population,maize flour,percent of population eating industrially produced vehicle,na,8.54322401,6.81619912,10.33991833,True,True
28,214,Nigeria,total population,maize flour,percent of population eating fortified vehicle,folic acid,1.245041483,0.62702489,1.963058077,True,True
29,214,Nigeria,,maize flour,percent of population eating fortified vehicle,iron,1.8732272730000001,0.788636175,2.957818371,True,True
30,214,Nigeria,total population,maize flour,percent of population eating fortified vehicle,vitamin a,1.245041483,0.62702489,1.963058077,True,True
31,214,Nigeria,total population,maize flour,percent of population eating fortified vehicle,zinc,1.245041483,0.62702489,1.963058077,True,True
32,214,Nigeria,total population,oil,percent of population eating vehicle,na,98.46066114,97.66066114,99.23033057,True,True
33,214,Nigeria,total population,oil,percent of population eating industrially produced vehicle,na,31.89636505,28.81768732,34.97504278,True,True
35,214,Nigeria,total population,wheat flour,percent of population eating vehicle,na,62.75959426,60.35959426,65.12926369,True,True
36,214,Nigeria,total population,wheat flour,percent of population eating industrially produced vehicle,na,62.56860256,60.19893313,64.93827199,True,True
37,214,Nigeria,total population,wheat flour,percent of population eating fortified vehicle,folic acid,17.45281178,15.08644802,19.85851439,True,True
38,214,Nigeria,total population,wheat flour,percent of population eating fortified vehicle,iron,17.45281178,15.08644802,19.85851439,True,True
39,214,Nigeria,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,17.45281178,15.08644802,19.85851439,True,True
40,214,Nigeria,total population,wheat flour,percent of population eating fortified vehicle,zinc,17.45281178,15.08644802,19.85851439,True,True
42,161,Bangladesh,total population,oil,percent of population eating industrially produced vehicle,na,88.4,84.5,92.3,True,True
43,161,Bangladesh,total population,oil,percent of population eating vehicle,na,100.0,96.51489244,100.0,True,True
44,161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,folic acid,0.155875,0.11628321800000001,0.195466782,True,True
45,161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,iron,0.155875,0.11628321800000001,0.195466782,True,True
46,161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.155875,0.11628321800000001,0.195466782,True,True
47,161,Bangladesh,,wheat flour,percent of population eating fortified vehicle,zinc,0.155875,0.11628321800000001,0.195466782,True,True
48,161,Bangladesh,,wheat flour,percent of population eating industrially produced vehicle,na,38.24133333,28.52814944,47.95451722,True,True
49,161,Bangladesh,women of reproductive age,wheat flour,percent of population eating vehicle,na,41.9,31.25752576,52.54247424,False,True
50,161,Bangladesh,under-5,wheat flour,percent of population eating vehicle,na,76.2,56.84542871,95.55457129,True,False
52,165,Pakistan,total population,oil,percent of population eating industrially produced vehicle,na,85.0,0.0,87.96234143,True,True
53,165,Pakistan,total population,oil,percent of population eating vehicle,na,100.0,100.0,100.0,True,True
54,165,Pakistan,,wheat flour,percent of population eating fortified vehicle,folic acid,1.946666667,0.0,2.441114157,True,True
55,165,Pakistan,total population,wheat flour,percent of population eating fortified vehicle,iron,3.82123947,0.0,4.791822827,True,True
56,165,Pakistan,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
57,165,Pakistan,,wheat flour,percent of population eating fortified vehicle,zinc,1.946666667,0.0,2.441114157,True,True
58,165,Pakistan,total population,wheat flour,percent of population eating industrially produced vehicle,na,41.52578577,0.0,52.07321072,True,True
59,165,Pakistan,total population,wheat flour,percent of population eating vehicle,na,100.0,100.0,100.0,True,True
61,190,Uganda,total population,oil,percent of population eating industrially produced vehicle,na,89.0,84.7,93.2,True,True
62,190,Uganda,total population,oil,percent of population eating vehicle,na,89.9,85.9,94.0,True,True
63,190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,folic acid,8.5,5.7,11.4,True,True
64,190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,iron,8.5,5.7,11.4,True,True
65,190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,8.5,5.7,11.4,True,True
66,190,Uganda,total population,wheat flour,percent of population eating fortified vehicle,zinc,8.5,5.7,11.4,True,True
67,190,Uganda,total population,wheat flour,percent of population eating industrially produced vehicle,na,10.6,7.6,13.6,True,True
68,190,Uganda,total population,wheat flour,percent of population eating vehicle,na,11.2,7.7,14.7,True,True
69,190,Uganda,total population,maize flour,percent of population eating fortified vehicle,folic acid,6.5,3.3,9.7,True,True
70,190,Uganda,total population,maize flour,percent of population eating fortified vehicle,iron,6.5,3.3,9.7,True,True
71,190,Uganda,total population,maize flour,percent of population eating fortified vehicle,vitamin a,6.5,3.3,9.7,True,True
72,190,Uganda,total population,maize flour,percent of population eating fortified vehicle,zinc,6.5,3.3,9.7,True,True
73,190,Uganda,total population,maize flour,percent of population eating industrially produced vehicle,na,42.4,32.7,52.1,True,True
74,190,Uganda,total population,maize flour,percent of population eating vehicle,na,91.8,87.7,96.0,True,True
76,189,United Republic of Tanzania,total population,oil,percent of population eating industrially produced vehicle,na,92.6,89.0,96.3,True,True
77,189,United Republic of Tanzania,total population,oil,percent of population eating vehicle,na,96.2,93.2,99.2,True,True
78,189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,folic acid,33.1,27.5,38.7,True,True
79,189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,iron,33.1,27.5,38.7,True,True
80,189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,33.1,27.5,38.7,True,True
81,189,United Republic of Tanzania,total population,wheat flour,percent of population eating fortified vehicle,zinc,33.1,27.5,38.7,True,True
82,189,United Republic of Tanzania,total population,wheat flour,percent of population eating industrially produced vehicle,na,50.5,43.3,57.7,True,True
83,189,United Republic of Tanzania,total population,wheat flour,percent of population eating vehicle,na,51.5,44.5,58.5,True,True
84,189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,folic acid,2.5,1.3,3.7,True,True
85,189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,iron,2.5,1.3,3.7,True,True
86,189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,vitamin a,2.5,1.3,3.7,True,True
87,189,United Republic of Tanzania,total population,maize flour,percent of population eating fortified vehicle,zinc,2.5,1.3,3.7,True,True
88,189,United Republic of Tanzania,total population,maize flour,percent of population eating industrially produced vehicle,na,36.6,29.2,44.0,True,True
89,189,United Republic of Tanzania,total population,maize flour,percent of population eating vehicle,na,93.0,89.7,96.4,True,True
91,196,South Africa,,oil,percent of population eating industrially produced vehicle,na,58.51343223,54.43492898,62.59193549,True,True
92,196,South Africa,,oil,percent of population eating vehicle,na,90.9670181,84.62643501,97.3076012,True,True
93,196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,folic acid,5.707703746,3.166260481,9.07579743,True,True
94,196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,iron,5.707703746,3.166260481,9.07579743,True,True
95,196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,vitamin a,5.707703746,3.166260481,9.07579743,True,True
96,196,South Africa,total population,wheat flour,percent of population eating fortified vehicle,zinc,5.707703746,3.166260481,9.07579743,True,True
97,196,South Africa,total population,wheat flour,percent of population eating industrially produced vehicle,na,10.91748441,6.391077697999999,15.99059028,True,True
98,196,South Africa,total population,wheat flour,percent of population eating vehicle,na,10.91748441,6.391077697999999,15.99059028,True,True
99,196,South Africa,total population,maize flour,percent of population eating fortified vehicle,folic acid,58.05414846,50.86576232,72.35622537,True,True
100,196,South Africa,total population,maize flour,percent of population eating fortified vehicle,iron,58.05414846,50.86576232,72.35622537,True,True
101,196,South Africa,total population,maize flour,percent of population eating fortified vehicle,vitamin a,58.05414846,50.86576232,72.35622537,True,True
102,196,South Africa,total population,maize flour,percent of population eating fortified vehicle,zinc,58.05414846,50.86576232,72.35622537,True,True
103,196,South Africa,total population,maize flour,percent of population eating industrially produced vehicle,na,96.44486596,92.2630815,98.90660168,True,True
104,196,South Africa,total population,maize flour,percent of population eating vehicle,na,96.58154075,92.33141889,99.04327647,True,True
105,201,Burkina Faso,,maize flour,percent of population eating vehicle,na,26.61,12.497238099999999,40.7227619,True,True
106,201,Burkina Faso,,maize flour,percent of population eating industrially produced vehicle,na,0.0,0.0,0.0,True,True
107,201,Burkina Faso,,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
108,201,Burkina Faso,,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True
109,201,Burkina Faso,,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
110,201,Burkina Faso,,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
111,201,Burkina Faso,8-59 months,oil,percent of population eating vehicle,na,92.23,46.09189629,100.0,True,True
112,201,Burkina Faso,,oil,percent of population eating industrially produced vehicle,na,63.359727500000005,24.53053498,100.0,True,True
114,201,Burkina Faso,women of reproductive age,wheat flour,percent of population eating vehicle,na,48.0,21.09788868,74.90211132,False,True
115,201,Burkina Faso,children 12-36 months,wheat flour,percent of population eating vehicle,na,57.0,25.053742800000002,88.9462572,True,False
116,201,Burkina Faso,,wheat flour,percent of population eating industrially produced vehicle,na,52.3,22.98790787,81.61209213,True,True
117,201,Burkina Faso,,wheat flour,percent of population eating fortified vehicle,folic acid,32.1645,14.13756334,50.19143666,True,True
118,201,Burkina Faso,,wheat flour,percent of population eating fortified vehicle,iron,17.38975,7.643479367,27.13602063,True,True
119,201,Burkina Faso,,wheat flour,percent of population eating fortified vehicle,vitamin a,12.3885625,6.095247081,18.68187792,True,True
120,201,Burkina Faso,,wheat flour,percent of population eating fortified vehicle,zinc,12.3885625,6.095247081,18.68187792,True,True
121,180,Kenya,,maize flour,percent of population eating vehicle,na,91.67123017,0.0,100.0,True,True
122,180,Kenya,total population,maize flour,percent of population eating industrially produced vehicle,na,36.67,17.221860999999997,56.118139,True,True
123,180,Kenya,,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True
124,180,Kenya,,maize flour,percent of population eating fortified vehicle,iron,5.31715275,2.497171136,8.137134364,True,True
125,180,Kenya,,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
126,180,Kenya,,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
127,180,Kenya,,oil,percent of population eating vehicle,na,56.65292679999999,0.0,84.99358181,True,True
128,180,Kenya,total population,oil,percent of population eating industrially produced vehicle,na,9.39,4.692647796,14.0873522,True,True
130,180,Kenya,total population,wheat flour,percent of population eating vehicle,na,36.58,16.07834933,57.08165067,True,True
131,180,Kenya,total population,wheat flour,percent of population eating industrially produced vehicle,na,36.72053067,12.01434893,62.62482461,True,True
132,180,Kenya,,wheat flour,percent of population eating fortified vehicle,folic acid,27.4197812,0.0,53.06646255,True,True
133,180,Kenya,,wheat flour,percent of population eating fortified vehicle,iron,27.09520062,0.0,52.48305101,True,True
134,180,Kenya,,wheat flour,percent of population eating fortified vehicle,vitamin a,27.39557009,0.0,53.02032333,True,True
135,180,Kenya,,wheat flour,percent of population eating fortified vehicle,zinc,27.45436641,0.0,53.11673201,True,True
136,15,Myanmar,,oil,percent of population eating vehicle,na,66.25146182,61.63360243,70.86932121,True,True
137,15,Myanmar,total population,oil,percent of population eating industrially produced vehicle,na,10.0,0.0,20.0,True,True
139,15,Myanmar,total population,wheat flour,percent of population eating vehicle,na,5.0,0.0,10.0,True,True
140,15,Myanmar,,wheat flour,percent of population eating industrially produced vehicle,na,4.5,1.977927063,7.022072937000001,True,True
141,15,Myanmar,total population,wheat flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,5.0,True,True
142,15,Myanmar,total population,wheat flour,percent of population eating fortified vehicle,iron,0.0,0.0,5.0,True,True
143,15,Myanmar,,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True
144,15,Myanmar,total population,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,5.0,True,True
145,164,Nepal,total population,oil,percent of population eating vehicle,na,99.8,99.8,99.9,True,True
146,164,Nepal,,oil,percent of population eating industrially produced vehicle,na,88.74459523,82.55891946,94.93027101,True,True
148,164,Nepal,total population,wheat flour,percent of population eating vehicle,na,52.1,45.8,58.4,True,True
149,164,Nepal,total population,wheat flour,percent of population eating industrially produced vehicle,na,43.0,18.90019194,67.09980806,True,True
150,164,Nepal,,wheat flour,percent of population eating fortified vehicle,folic acid,5.165022222,2.270230497,8.059813948,True,True
151,164,Nepal,,wheat flour,percent of population eating fortified vehicle,iron,7.334331556,3.2237273060000002,11.44493581,True,True
152,164,Nepal,,wheat flour,percent of population eating fortified vehicle,vitamin a,5.165022222,2.270230497,8.059813948,True,True
153,164,Nepal,,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True
154,20,Viet Nam,under-5,oil,percent of population eating vehicle,na,38.3,19.14040581,57.45959419,True,False
155,20,Viet Nam,,oil,percent of population eating vehicle,na,56.3,52.3757774,60.224222600000004,False,True
156,20,Viet Nam,total population,oil,percent of population eating industrially produced vehicle,na,90.0,44.97745491,100.0,True,True
158,20,Viet Nam,women of reproductive age,wheat flour,percent of population eating vehicle,na,38.8,17.05412668,60.54587332,False,True
159,20,Viet Nam,under-5,wheat flour,percent of population eating vehicle,na,16.4,7.208445297999999,25.5915547,True,False
160,20,Viet Nam,,wheat flour,percent of population eating industrially produced vehicle,na,21.93,9.639097889,34.22090211,True,True
161,20,Viet Nam,,wheat flour,percent of population eating fortified vehicle,folic acid,4.111875,1.8073308540000002,6.416419146,True,True
162,20,Viet Nam,,wheat flour,percent of population eating fortified vehicle,iron,4.111875,1.8073308540000002,6.416419146,True,True
163,20,Viet Nam,,wheat flour,percent of population eating fortified vehicle,vitamin a,4.111875,1.8073308540000002,6.416419146,True,True
164,20,Viet Nam,,wheat flour,percent of population eating fortified vehicle,zinc,4.111875,1.8073308540000002,6.416419146,True,True
165,202,Cameroon,,maize flour,percent of population eating vehicle,na,47.29546673,19.91158068,74.67935279,True,True
166,202,Cameroon,,maize flour,percent of population eating industrially produced vehicle,na,11.52117731,4.850461731,18.19189288,True,True
167,202,Cameroon,,maize flour,percent of population eating fortified vehicle,folic acid,5.1352288569999995,2.16195189,8.108505824,True,True
168,202,Cameroon,,maize flour,percent of population eating fortified vehicle,iron,5.1352288569999995,2.16195189,8.108505824,True,True
169,202,Cameroon,,maize flour,percent of population eating fortified vehicle,vitamin a,5.1352288569999995,2.16195189,8.108505824,True,True
170,202,Cameroon,,maize flour,percent of population eating fortified vehicle,zinc,5.1352288569999995,2.16195189,8.108505824,True,True
171,202,Cameroon,under-5,oil,percent of population eating vehicle,na,53.1,52.586492799999995,53.61350720000001,True,True
172,202,Cameroon,,oil,percent of population eating industrially produced vehicle,na,47.66787893,44.34533243,50.99042543,True,True
174,202,Cameroon,women of reproductive age,wheat flour,percent of population eating vehicle,na,92.0,90.0,94.0,False,True
175,202,Cameroon,under-5,wheat flour,percent of population eating vehicle,na,94.0,92.0,96.0,True,False
176,202,Cameroon,,wheat flour,percent of population eating industrially produced vehicle,na,75.57090909,37.1813407,100.0,True,True
177,202,Cameroon,,wheat flour,percent of population eating fortified vehicle,folic acid,69.52523636,47.12059857,91.92987416,True,True
178,202,Cameroon,,wheat flour,percent of population eating fortified vehicle,iron,53.08856364,35.98067445,70.19645282,True,True
179,202,Cameroon,,wheat flour,percent of population eating fortified vehicle,vitamin a,43.61071212,21.45673203,65.76469221,True,True
180,202,Cameroon,,wheat flour,percent of population eating fortified vehicle,zinc,69.52523636,47.12059857,91.92987416,True,True
181,205,Côte d'Ivoire,,maize flour,percent of population eating vehicle,na,84.95835164,35.76780588,100.0,True,True
182,205,Côte d'Ivoire,,maize flour,percent of population eating industrially produced vehicle,na,9.176518015,3.86335079,14.48968524,True,True
183,205,Côte d'Ivoire,,maize flour,percent of population eating fortified vehicle,folic acid,6.764751526,2.8479874510000003,10.6815156,True,True
184,205,Côte d'Ivoire,,maize flour,percent of population eating fortified vehicle,iron,6.764751526,2.8479874510000003,10.6815156,True,True
