Location,Vehicle,All,Folic acid,Iron,Vitamin A,Zinc
All modeled locations,wheat flour,"4.37 (0.97, 7.83)","6.71 (4.79, 8.61)","3.45 (0.04, 7.34)","6.25 (-0.34, 10.51)","10.53 (5.72, 15.30)"
All modeled locations,maize flour,"1.24 (0.30, 2.19)","2.07 (1.39, 2.86)","0.87 (0.01, 1.86)","2.49 (-0.14, 4.30)","2.05 (0.97, 3.14)"
All modeled locations,industry oil,"1.40 (-0.10, 3.18)",Not modeled,Not modeled,"19.71 (-1.44, 33.07)",Not modeled
All modeled locations,oil,"0.85 (-0.05, 1.87)",Not modeled,Not modeled,"12.16 (-0.89, 21.63)",Not modeled
Angola,wheat flour,"2.77 (0.71, 5.22)","2.79 (1.30, 4.81)","2.60 (0.03, 6.51)","3.33 (-0.25, 7.03)","4.34 (1.59, 7.65)"
Angola,maize flour,"0.83 (0.22, 1.42)","0.82 (0.38, 1.17)","0.81 (0.00, 1.74)","0.96 (-0.07, 1.66)","1.25 (0.64, 1.75)"
Angola,industry oil,"2.96 (-0.26, 7.19)",Not modeled,Not modeled,"22.20 (-1.80, 39.24)",Not modeled
Angola,oil,"1.36 (-0.11, 3.30)",Not modeled,Not modeled,"10.24 (-0.77, 17.20)",Not modeled
Bangladesh,wheat flour,"10.50 (1.30, 21.69)","11.62 (7.41, 15.88)","10.29 (0.12, 23.15)","13.17 (-0.78, 22.93)","16.00 (9.22, 22.89)"
Bangladesh,industry oil,"0.25 (-0.01, 0.55)",Not modeled,Not modeled,"20.19 (-0.94, 37.61)",Not modeled
Bangladesh,oil,"0.26 (-0.01, 0.55)",Not modeled,Not modeled,"20.83 (-0.92, 37.18)",Not modeled
Burkina Faso,wheat flour,"7.53 (1.49, 14.51)","6.01 (2.13, 11.06)","7.12 (0.10, 17.78)","14.00 (-0.62, 30.24)","18.29 (6.60, 31.22)"
Burkina Faso,maize flour,"0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)","0.00 (0.00, 0.00)"
Burkina Faso,industry oil,"2.80 (-0.22, 7.21)",Not modeled,Not modeled,"19.19 (-1.05, 34.60)",Not modeled
Burkina Faso,oil,"0.74 (-0.05, 2.13)",Not modeled,Not modeled,"5.03 (-0.15, 9.64)",Not modeled
Cameroon,wheat flour,"6.37 (0.60, 14.49)","2.02 (1.05, 3.16)","6.58 (0.00, 20.00)","12.96 (-0.56, 27.08)","10.28 (0.38, 26.89)"
Cameroon,maize flour,"1.85 (0.37, 3.68)","1.70 (0.62, 2.97)","1.81 (0.01, 4.43)","2.18 (-0.15, 4.50)","2.79 (1.02, 4.83)"
Cameroon,industry oil,"4.18 (-0.42, 10.76)",Not modeled,Not modeled,"18.96 (-1.10, 33.50)",Not modeled
Cameroon,oil,"1.50 (-0.14, 3.72)",Not modeled,Not modeled,"6.79 (-0.36, 12.38)",Not modeled
China,wheat flour,"11.80 (1.23, 25.04)","8.78 (4.09, 14.40)","12.50 (0.17, 29.28)","16.87 (-0.95, 33.26)","20.28 (8.52, 34.20)"
China,industry oil,"0.31 (-0.02, 0.60)",Not modeled,Not modeled,"31.33 (-1.75, 51.58)",Not modeled
Côte d'Ivoire,wheat flour,"1.68 (0.69, 2.63)","3.10 (1.70, 4.77)","0.34 (0.00, 0.80)","3.94 (-0.24, 7.06)","4.85 (2.69, 7.45)"
Côte d'Ivoire,maize flour,"0.65 (0.15, 1.26)","0.66 (0.25, 1.16)","0.62 (0.00, 1.56)","0.84 (-0.04, 1.78)","1.04 (0.36, 1.87)"
Côte d'Ivoire,industry oil,"1.26 (-0.05, 3.35)",Not modeled,Not modeled,"16.99 (-0.78, 31.03)",Not modeled
Côte d'Ivoire,oil,"1.01 (-0.03, 2.91)",Not modeled,Not modeled,"13.76 (-0.42, 28.45)",Not modeled
Democratic Republic of the Congo,wheat flour,"0.17 (0.04, 0.29)","0.17 (0.10, 0.24)","0.16 (0.00, 0.36)","0.19 (-0.01, 0.34)","0.24 (0.14, 0.36)"
Democratic Republic of the Congo,maize flour,"0.65 (0.17, 1.10)","0.66 (0.42, 0.91)","0.61 (0.01, 1.36)","0.73 (-0.04, 1.26)","0.95 (0.55, 1.35)"
Democratic Republic of the Congo,industry oil,"4.55 (-0.31, 10.60)",Not modeled,Not modeled,"24.27 (-1.40, 41.55)",Not modeled
Democratic Republic of the Congo,oil,"2.66 (-0.19, 6.14)",Not modeled,Not modeled,"14.23 (-0.85, 23.14)",Not modeled
Egypt,wheat flour,"15.61 (1.35, 33.12)","14.61 (6.94, 24.21)","15.80 (0.18, 35.35)","16.90 (-0.66, 33.60)","23.93 (10.27, 39.63)"
Egypt,maize flour,"9.83 (0.89, 21.84)","8.51 (3.40, 14.62)","10.11 (0.12, 24.70)","9.80 (-0.53, 20.61)","13.57 (5.33, 23.11)"
Egypt,industry oil,"0.33 (-0.02, 0.80)",Not modeled,Not modeled,"18.46 (-0.94, 32.54)",Not modeled
Ethiopia,wheat flour,"5.46 (1.15, 9.42)","5.63 (4.01, 7.32)","4.38 (0.05, 9.74)","8.76 (-0.49, 14.38)","11.28 (6.93, 15.23)"
Ethiopia,maize flour,"6.38 (1.30, 12.63)","7.71 (3.13, 13.09)","5.03 (0.05, 12.55)","8.63 (-0.41, 17.45)","11.27 (3.80, 19.83)"
Ethiopia,industry oil,"3.68 (-0.28, 8.21)",Not modeled,Not modeled,"22.02 (-1.12, 37.55)",Not modeled
Ethiopia,oil,"3.80 (-0.32, 8.64)",Not modeled,Not modeled,"22.74 (-1.33, 36.88)",Not modeled
Ghana,wheat flour,"8.70 (1.75, 17.21)","9.37 (3.89, 16.02)","8.19 (0.04, 20.13)","11.73 (-0.59, 24.71)","14.65 (5.36, 26.46)"
Ghana,maize flour,"2.04 (0.32, 4.26)","2.04 (0.81, 3.54)","1.99 (0.01, 5.07)","2.57 (-0.16, 5.49)","3.21 (1.15, 5.66)"
Ghana,industry oil,"1.39 (-0.08, 3.45)",Not modeled,Not modeled,"18.45 (-0.95, 34.54)",Not modeled
Ghana,oil,"1.50 (-0.08, 3.62)",Not modeled,Not modeled,"19.91 (-0.94, 35.33)",Not modeled
India,wheat flour,"0.21 (0.02, 0.43)","0.26 (0.12, 0.41)","0.16 (0.00, 0.36)","1.66 (-0.11, 2.78)","2.10 (1.30, 2.85)"
India,industry oil,"0.65 (-0.04, 1.43)",Not modeled,Not modeled,"24.76 (-1.31, 43.75)",Not modeled
