parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
Total iron responsive anemia,5,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.179469585,0.149142599,0.212594873
Total iron responsive anemia,3,ylds,count,168,169,2,Angola,Female,Reproductive age,54320.65756,33929.8147,80344.39769
Total iron responsive anemia,3,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.005692856,0.003555877,0.008420169
Total iron responsive anemia,5,prevalence,count,168,169,2,Angola,Female,Reproductive age,1712480.544,1423103.519,2028558.672
Total iron responsive anemia,3,ylds,rate,168,1,3,Angola,Both,Under Five,0.012740176,0.00762069,0.01976212
Total iron responsive anemia,5,prevalence,rate,168,1,3,Angola,Both,Under Five,0.451481519,0.387392803,0.518285522
Total iron responsive anemia,3,ylds,count,168,1,3,Angola,Both,Under Five,65575.59769,39224.83481,101718.6018
Total iron responsive anemia,5,prevalence,count,168,1,3,Angola,Both,Under Five,2323843.219,1993968.967,2667693.461
Mean hemoglobin concentration,n/a,g/L,g/L,168,1,3,Angola,Both,Under five,107.6897168,105.3767427,109.981788
Mean hemoglobin concentration,n/a,g/L,g/L,168,169,2,Angola,Female,Reproductive age,123.2997163,121.1244719,125.4443905
Total anemia,5,prevalence,count,168,1,3,Angola,Both,Under Five,2815481.095,2455263.382,3176940.675
Mild anemia,5,prevalence,count,168,1,3,Angola,Both,Under Five,1372997.14,1237115.338,1515477.42
Moderate anemia,5,prevalence,count,168,1,3,Angola,Both,Under Five,1375813.385,1120044.258,1639146.942
Severe anemia,5,prevalence,count,168,1,3,Angola,Both,Under Five,66670.56972,44452.14847,93905.52086
Total anemia,3,ylds,count,168,1,3,Angola,Both,Under Five,85179.46484,51961.8864,130581.3822
Mild anemia,3,ylds,count,168,1,3,Angola,Both,Under Five,5057.00836,1813.818409,11370.99227
Moderate anemia,3,ylds,count,168,1,3,Angola,Both,Under Five,70374.77209,42965.15026,106263.4057
Severe anemia,3,ylds,count,168,1,3,Angola,Both,Under Five,9747.684391,5490.422518,16056.30314
Total anemia,5,prevalence,rate,168,1,3,Angola,Both,Under Five,0.546998038,0.477014126,0.617223224
Mild anemia,5,prevalence,rate,168,1,3,Angola,Both,Under Five,0.266748991,0.240349567,0.294430382
