,parameter,measure_id,measure,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
0,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,1,169,2,Global,female,Reproductive age,18790981.580536626,13050115.472531686,25733648.775407854
1,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,6,169,2,China,female,Reproductive age,907980.4626427302,602398.9103072535,1288012.6840852585
2,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,11,169,2,Indonesia,female,Reproductive age,600904.0737610962,412163.2499654322,846699.2316167731
3,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,15,169,2,Myanmar,female,Reproductive age,202569.1017012566,136951.0857971838,280895.35106421483
4,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,20,169,2,Viet Nam,female,Reproductive age,99939.28065419389,65940.9141611072,147102.73467870615
5,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,141,169,2,Egypt,female,Reproductive age,136528.04036502723,91696.83936892013,203443.28159406033
6,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,161,169,2,Bangladesh,female,Reproductive age,455148.09409745166,302307.22721296386,662410.3467309885
7,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,163,169,2,India,female,Reproductive age,7224454.068362566,4973117.519394149,9915775.425365828
8,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,164,169,2,Nepal,female,Reproductive age,123661.83453506655,81991.84735699312,174119.07581211318
9,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,165,169,2,Pakistan,female,Reproductive age,1217996.33630891,813529.7637690761,1687747.0703173636
10,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,168,169,2,Angola,female,Reproductive age,78990.65520970465,49816.351790877176,113520.5216280856
11,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,171,169,2,Democratic Republic of the Congo,female,Reproductive age,338225.759478352,221074.91288325793,474799.11522291315
12,Total iron deficiency burden (including anemia and maternal disorders),2,dalys,count,179,169,2,Ethiopia,female,Reproductive age,270367.7028968498,182900.76978052664,381299.44481468067
