location_id,location_name,sub_population_used,vehicle,value_description,nutrient,value_mean_requested,value_mean_used,value_025_percentile_used,value_975_percentile_used,estimation_status_used,source_citation_used,source_link_used,CI_source_used,data_choice_notes_used,source_citation_requested
168,Angola,,oil,percent of population eating fortified vehicle,vitamin a,8.8,8.805705057593563,8.191929803669176,9.419480311517948,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
161,Bangladesh,,oil,percent of population eating fortified vehicle,vitamin a,42.8,42.849572,41.35621832612362,44.34292567387637,multiplicative,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
201,Burkina Faso,total population,oil,percent of population eating fortified vehicle,vitamin a,51.1,51.122017194988004,4.443526257996645,93.66622798698693,na + rejection sampling,"Sablah M, Klopp J, Steinberg D, Touaoro Z, Laillou A, Baker S. Thriving public-private partnership to fortify cooking oil in the West African Economic and Monetary Union (UEMOA) to control vitamin A deficiency: Faire Tache d'Huile en Afrique de l'Ouest. Food Nutr Bull. 2012 Dec;33(4 Suppl):S310-20. doi: 10.1177/15648265120334S307. PMID: 23444712.",https://pubmed.ncbi.nlm.nih.gov/23444712/,modeling,"Out of two numbers from the same source, discarded 2010 number (70%) in lieu of 2013 number (75%)",From BMGF team: 8:38 4/16/2021 email from Jonathan
202,Cameroon,,oil,percent of population eating fortified vehicle,vitamin a,20.0,30.49690000000001,30.20197763234229,30.79182236765773,multiplicative,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
6,China,,oil,percent of population eating fortified vehicle,vitamin a,5.0,,,,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
205,Côte d'Ivoire,total population,oil,percent of population eating fortified vehicle,vitamin a,30.5,75.0,74.27470734486688,75.72529265513312,na,"Sablah M, Klopp J, Steinberg D, Touaoro Z, Laillou A, Baker S. Thriving public-private partnership to fortify cooking oil in the West African Economic and Monetary Union (UEMOA) to control vitamin A deficiency: Faire Tache d'Huile en Afrique de l'Ouest. Food Nutr Bull. 2012 Dec;33(4 Suppl):S310-20. doi: 10.1177/15648265120334S307. PMID: 23444712.",https://pubmed.ncbi.nlm.nih.gov/23444712/,modeling,Keeping Sablah et al. estimate of 75% from 2013. Discarding Grant et al. estimate of 98% from 2014 because it is only for Abidjan.,From BMGF team: 8:38 4/16/2021 email from Jonathan
171,Democratic Republic of the Congo,,oil,percent of population eating fortified vehicle,vitamin a,3.0,0.0,0.0,0.0,multiplicative,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
141,Egypt,,oil,percent of population eating fortified vehicle,vitamin a,5.0,,,,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
179,Ethiopia,,oil,percent of population eating fortified vehicle,vitamin a,5.0,0.0,0.0,0.0,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
207,Ghana,total population,oil,percent of population eating fortified vehicle,vitamin a,32.9,32.9,30.606804200000003,35.1931958,na,Ghana and Orc Macro. “Ghana Demographic and Health Survey 2003.” (2004).,https://dhsprogram.com/pubs/pdf/FR307/FR307.pdf,modeling,Only one source; discarded urban and rural specific for nationally representative,From BMGF team: 8:38 4/16/2021 email from Jonathan
163,India,0-24 months,oil,percent of population eating fortified vehicle,vitamin a,24.3,24.3,21.1,27.9,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,extraction,"Only one source. Note source had two numbers: one for caregivers and one for 0-24 month year olds, but numbers were equal.",From BMGF team: 8:38 4/16/2021 email from Jonathan
11,Indonesia,,oil,percent of population eating fortified vehicle,vitamin a,43.8,43.80555173372604,40.75221716678187,46.858886300670214,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
180,Kenya,,oil,percent of population eating fortified vehicle,vitamin a,50.0,0.0,0.0,0.0,regression,na,na,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
181,Madagascar,,oil,percent of population eating fortified vehicle,vitamin a,18.0,17.966241289241964,16.71395833889922,19.218524239584703,regression,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
184,Mozambique,,oil,percent of population eating fortified vehicle,vitamin a,37.6,37.5774,37.214005170413344,37.94079482958665,multiplicative,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
15,Myanmar,total population,oil,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,5.0,na,,,extraction,Unable to find data; assuming 0; justification: lack of reports on fortification activities.,From BMGF team: 8:38 4/16/2021 email from Jonathan
164,Nepal,,oil,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,0.0,multiplicative,,,modeling,,From BMGF team: 8:38 4/16/2021 email from Jonathan
213,Niger,total population,oil,percent of population eating fortified vehicle,vitamin a,75.0,75.0,69.77235,80.22765,na,"Sablah M, Klopp J, Steinberg D, Touaoro Z, Laillou A, Baker S. Thriving public-private partnership to fortify cooking oil in the West African Economic and Monetary Union (UEMOA) to control vitamin A deficiency: Faire Tache d'Huile en Afrique de l'Ouest. Food Nutr Bull. 2012 Dec;33(4 Suppl):S310-20. doi: 10.1177/15648265120334S307. PMID: 23444712.",https://pubmed.ncbi.nlm.nih.gov/23444712/,modeling,"From two sources, we had an estimate of 55% in 2010. The latter source additionally projected 75% by 2013, which we are using here.",From BMGF team: 8:38 4/16/2021 email from Jonathan
