,model_version_id,covariate_id,covariate_name_short,location_id,location_name,year_id,age_group_id,age_group_name,sex_id,sex,mean_value,lower_value,upper_value
0,34911,13,ASFR,163,India,2019,7,10 to 14,2,Female,0.00023069297852558,0.000101977756789688,0.00046592851689538603
1,34911,13,ASFR,163,India,2019,8,15 to 19,2,Female,0.013521301136416001,0.0111354950981098,0.0162878134513643
2,34911,13,ASFR,163,India,2019,9,20 to 24,2,Female,0.12998729447220403,0.11271418661092801,0.148395718976701
3,34911,13,ASFR,163,India,2019,10,25 to 29,2,Female,0.147397057277724,0.134767639057556,0.16054188790644103
4,34911,13,ASFR,163,India,2019,11,30 to 34,2,Female,0.07558142020450999,0.0661735729435595,0.0858055184300324
5,34911,13,ASFR,163,India,2019,12,35 to 39,2,Female,0.0270349135635172,0.0217020691078798,0.0332462984811556
6,34911,13,ASFR,163,India,2019,13,40 to 44,2,Female,0.00773328149555498,0.00592975482568135,0.00991985644241645
7,34911,13,ASFR,163,India,2019,14,45 to 49,2,Female,0.00271755035855272,0.00163747155783496,0.00423626030796656
8,34911,13,ASFR,163,India,2019,15,50 to 54,2,Female,9.21439499981619e-05,8.89295892721835e-05,9.52745284929823e-05
9,34911,13,ASFR,179,Ethiopia,2019,7,10 to 14,2,Female,0.00168193885291045,0.000745373456081956,0.00349374325520331
10,34911,13,ASFR,179,Ethiopia,2019,8,15 to 19,2,Female,0.070365913894435,0.06024069497554701,0.0830065083632503
11,34911,13,ASFR,179,Ethiopia,2019,9,20 to 24,2,Female,0.20044403475359,0.177245980817057,0.22672117995347302
12,34911,13,ASFR,179,Ethiopia,2019,10,25 to 29,2,Female,0.198654275186772,0.18332317482879298,0.216164876918195
13,34911,13,ASFR,179,Ethiopia,2019,11,30 to 34,2,Female,0.18933868158558398,0.173100561677934,0.20571484570260398
14,34911,13,ASFR,179,Ethiopia,2019,12,35 to 39,2,Female,0.149225512727102,0.131790653796084,0.166431570946313
15,34911,13,ASFR,179,Ethiopia,2019,13,40 to 44,2,Female,0.06324655919968,0.0534222269666147,0.0734685545538484
16,34911,13,ASFR,179,Ethiopia,2019,14,45 to 49,2,Female,0.0199616940709633,0.0137466192538074,0.0268062559713864
17,34911,13,ASFR,179,Ethiopia,2019,15,50 to 54,2,Female,0.000676840940431745,0.000653229938985621,0.0006998365217213679
18,34911,13,ASFR,214,Nigeria,2019,7,10 to 14,2,Female,0.00164271991139305,0.00072960192464783,0.00341736148441893
19,34911,13,ASFR,214,Nigeria,2019,8,15 to 19,2,Female,0.0765501684975742,0.0656797719017413,0.0900428664534035
20,34911,13,ASFR,214,Nigeria,2019,9,20 to 24,2,Female,0.186881077301349,0.163513605934386,0.213733263008409
21,34911,13,ASFR,214,Nigeria,2019,10,25 to 29,2,Female,0.224916913151545,0.20975524882632002,0.24192287423984302
22,34911,13,ASFR,214,Nigeria,2019,11,30 to 34,2,Female,0.21068188441481697,0.194665512877248,0.22657658759278898
23,34911,13,ASFR,214,Nigeria,2019,12,35 to 39,2,Female,0.14144298632171698,0.12479472407311899,0.158085442324553
24,34911,13,ASFR,214,Nigeria,2019,13,40 to 44,2,Female,0.0613714067659496,0.051787191630401,0.0713945629189114
25,34911,13,ASFR,214,Nigeria,2019,14,45 to 49,2,Female,0.0316526737904586,0.0247721794127639,0.0379245858180187
26,34911,13,ASFR,214,Nigeria,2019,15,50 to 54,2,Female,0.00107324686067986,0.0010358075870399,0.00110971028059777
