location_id,location_name,sub_population,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,u5_applicable,wra_applicable,estimation_status,source_citation,source_link,CI_source,data_choice_notes
179,Ethiopia,,maize flour,percent of population eating vehicle,na,59.263848357851714,24.95031721404901,93.57737950165443,True,True,regression,,,modeling,
179,Ethiopia,,maize flour,percent of population eating industrially produced vehicle,na,27.16751404393577,11.437632082553135,42.897396005318406,True,True,regression,,,modeling,
179,Ethiopia,,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,True,True,regression,,,modeling,
179,Ethiopia,,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,True,True,regression,,,modeling,
179,Ethiopia,,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,True,True,regression,,,modeling,
179,Ethiopia,,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,True,True,regression,,,modeling,
179,Ethiopia,,oil,percent of population eating vehicle,na,29.350000000000005,27.304246300000006,31.39575370000001,True,True,regression,,,modeling,
179,Ethiopia,under-5,oil,percent of population eating industrially produced vehicle,na,70.0,64.07069100768594,75.92930899231406,True,False,na,"Hafebo AS, Ndao PBL, Wuehler S, et al. Overview of the Ethiopian National Food Consumption Survey (NFCS): Implications for Fortification Programs. European Journal of Nutrition & Food Safety 2015; : 961–2.",http://www.journalejnfs.com/index.php/EJNFS/article/view/27875/52352,modeling,kept most recent year / representative populations
179,Ethiopia,women of reproductive age,oil,percent of population eating industrially produced vehicle,na,50.0,45.76477929120424,54.23522070879576,False,True,na,"Hafebo AS, Ndao PBL, Wuehler S, et al. Overview of the Ethiopian National Food Consumption Survey (NFCS): Implications for Fortification Programs. European Journal of Nutrition & Food Safety 2015; : 961–2.",http://www.journalejnfs.com/index.php/EJNFS/article/view/27875/52352,modeling,kept most recent year / representative populations
179,Ethiopia,,wheat flour,percent of population eating vehicle,na,28.0,13.776168000000002,42.223832,True,True,regression,,,modeling,
