location_id,location_name,nutrient,vehicle,value_description,value_mean,value_025_percentile,value_975_percentile,wra_applicable,u5_applicable,sub_population
6,China,vitamin a,industry oil,percent of population eating fortified vehicle,75,60.75211746,89.24788254,TRUE,TRUE,
11,Indonesia,vitamin a,industry oil,percent of population eating fortified vehicle,43.80555173,40.75221717,46.8588863,TRUE,TRUE,
15,Myanmar,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,5,TRUE,TRUE,
20,Viet Nam,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
141,Egypt,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.050141164,5.949858836,TRUE,TRUE,
161,Bangladesh,vitamin a,industry oil,percent of population eating fortified vehicle,42.849572,41.35621833,44.34292567,TRUE,TRUE,
163,India,vitamin a,industry oil,percent of population eating fortified vehicle,24.3,21.1,27.9,TRUE,TRUE,
164,Nepal,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
165,Pakistan,vitamin a,industry oil,percent of population eating fortified vehicle,28.49258241,0,29.48557955,TRUE,TRUE,
168,Angola,vitamin a,industry oil,percent of population eating fortified vehicle,8.805705058,8.191929804,9.419480312,TRUE,TRUE,
171,Democratic Republic of the Congo,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
179,Ethiopia,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
180,Kenya,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
181,Madagascar,vitamin a,industry oil,percent of population eating fortified vehicle,17.96624129,16.71395834,19.21852424,TRUE,TRUE,
184,Mozambique,vitamin a,industry oil,percent of population eating fortified vehicle,37.5774,37.21400517,37.94079483,TRUE,TRUE,
189,United Republic of Tanzania,vitamin a,industry oil,percent of population eating fortified vehicle,53.6,46.4,60.8,TRUE,TRUE,
190,Uganda,vitamin a,industry oil,percent of population eating fortified vehicle,54.4,48.3,60.4,TRUE,TRUE,
196,South Africa,vitamin a,industry oil,percent of population eating fortified vehicle,30.2037278,28.09846756,32.30898803,TRUE,TRUE,
201,Burkina Faso,vitamin a,industry oil,percent of population eating fortified vehicle,51.08314178,4.353187921,93.49333763,TRUE,TRUE,
202,Cameroon,vitamin a,industry oil,percent of population eating fortified vehicle,30.4969,30.20197763,30.79182237,TRUE,TRUE,
205,Côte d'Ivoire,vitamin a,industry oil,percent of population eating fortified vehicle,75,74.27470734,75.72529266,TRUE,TRUE,
207,Ghana,vitamin a,industry oil,percent of population eating fortified vehicle,32.9,30.6068042,35.1931958,TRUE,TRUE,
213,Niger,vitamin a,industry oil,percent of population eating fortified vehicle,75,69.77235,80.22765,TRUE,TRUE,
214,Nigeria,vitamin a,industry oil,percent of population eating fortified vehicle,7.478677729,5.778677729,9.248347161,TRUE,TRUE,
522,Sudan,vitamin a,industry oil,percent of population eating fortified vehicle,80,74.42384,85.57616,TRUE,TRUE,
6,China,vitamin a,industry oil,percent of population eating industrially produced vehicle,96.53,78.19200284,100,TRUE,TRUE,
11,Indonesia,vitamin a,industry oil,percent of population eating industrially produced vehicle,83.6384,67.74944588,99.52735412,TRUE,TRUE,
15,Myanmar,vitamin a,industry oil,percent of population eating industrially produced vehicle,76,61.562128,90.437872,TRUE,TRUE,
20,Viet Nam,vitamin a,industry oil,percent of population eating industrially produced vehicle,81,65.612268,96.387732,TRUE,TRUE,
