location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means,is_assumption
Angola,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Angola,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Angola,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Angola,oil,na,percent of population eating vehicle,0,,[nan],0.0
Angola,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Angola,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Angola,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
Bangladesh,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,oil,na,percent of population eating industrially produced vehicle,2,87.95,"[88.4, 87.5]",0.0
Bangladesh,oil,na,percent of population eating vehicle,10,80.78,"[95.0, 89.0, 75.0, 95.0, 51.0, 59.0, 68.0, 76.0, 100.0, 99.8]",0.0
Bangladesh,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Bangladesh,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Bangladesh,wheat flour,na,percent of population eating vehicle,12,62.35,"[40.0, 63.0, 59.0, 70.0, 70.0, 77.0, 65.0, 76.2, 41.9, 41.9, 76.2, 68.0]",0.0
Burkina Faso,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,bouillon,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Burkina Faso,bouillon,na,percent of population eating vehicle,6,80.83333333333333,"[79.0, 98.0, 48.0, 96.0, 76.0, 88.0]",0.0
Burkina Faso,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Burkina Faso,maize flour,na,percent of population eating vehicle,4,31.15,"[0.2, 39.4, 39.0, 46.0]",0.0
Burkina Faso,oil,vitamin a,percent of population eating fortified vehicle,2,72.5,"[70.0, 75.0]",0.0
Burkina Faso,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Burkina Faso,oil,na,percent of population eating vehicle,5,48.906,"[92.23, 30.2, 16.1, 54.0, 52.0]",0.0
Burkina Faso,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Burkina Faso,wheat flour,na,percent of population eating vehicle,10,52.3,"[52.0, 15.0, 48.0, 83.0, 41.0, 57.0, 88.0, 19.0, 58.0, 62.0]",0.0
Cameroon,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,bouillon,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Cameroon,bouillon,na,percent of population eating vehicle,7,95.25714285714285,"[96.0, 95.5, 96.8, 93.3, 96.2, 96.0, 93.0]",0.0
Cameroon,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Cameroon,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
Cameroon,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Cameroon,oil,na,percent of population eating vehicle,10,68.79,"[82.6, 54.1, 40.7, 54.5, 54.0, 53.1, 82.4, 93.6, 81.2, 91.7]",0.0
Cameroon,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Cameroon,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Cameroon,wheat flour,na,percent of population eating vehicle,11,94.46363636363635,"[92.2, 91.2, 89.8, 98.0, 92.0, 93.7, 94.0, 97.6, 98.4, 95.2, 97.0]",0.0
China,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
China,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan],0.0
China,oil,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
China,oil,na,percent of population eating vehicle,0,,[nan],0.0
China,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
China,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
China,wheat flour,na,percent of population eating vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Côte d'Ivoire,bouillon,na,percent of population eating vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,iron,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan],0.0
Côte d'Ivoire,maize flour,na,percent of population eating vehicle,0,,[nan],0.0
