location_name,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,sub_population,estimation_status,source_citation,source_link,data_choice_notes,CI_source
Ethiopia,maize flour,percent of population eating vehicle,na,59.25982513652628,37.96913996363264,80.55051030941992,,regression,,,,modeling
Ethiopia,maize flour,percent of population eating industrially produced vehicle,na,27.16981318610151,17.408327433841485,36.931298938361536,,regression,,,,modeling
Ethiopia,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,,regression,,,,modeling
Ethiopia,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,,regression,,,,modeling
Ethiopia,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,,regression,,,,modeling
Ethiopia,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,,regression,,,,modeling
Ethiopia,oil,percent of population eating vehicle,na,29.35000000000001,24.377850887873787,34.322149112126226,,regression,,,,modeling
Ethiopia,oil,percent of population eating industrially produced vehicle,na,70.0,64.07069100768594,75.92930899231406,under-5,na,"Hafebo AS, Ndao PBL, Wuehler S, et al. Overview of the Ethiopian National Food Consumption Survey (NFCS): Implications for Fortification Programs. European Journal of Nutrition & Food Safety 2015; : 961–2.",http://www.journalejnfs.com/index.php/EJNFS/article/view/27875/52352,kept most recent year / representative populations,modeling
Ethiopia,oil,percent of population eating industrially produced vehicle,na,50.0,45.76477929120424,54.23522070879576,women of reproductive age,na,"Hafebo AS, Ndao PBL, Wuehler S, et al. Overview of the Ethiopian National Food Consumption Survey (NFCS): Implications for Fortification Programs. European Journal of Nutrition & Food Safety 2015; : 961–2.",http://www.journalejnfs.com/index.php/EJNFS/article/view/27875/52352,kept most recent year / representative populations,modeling
Ethiopia,oil,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,,regression,,,,modeling
Ethiopia,wheat flour,percent of population eating vehicle,na,28.0,20.14131881818253,35.858681181817474,,regression,,,,modeling
