location_id,location_name,nutrient,vehicle,value_description,value_mean,value_025_percentile,value_975_percentile,wra_applicable,u5_applicable,sub_population
168,Angola,vitamin a,industry oil,percent of population eating industrially produced vehicle,72.32,58.58122496,86.05877504,TRUE,TRUE,
161,Bangladesh,vitamin a,industry oil,percent of population eating industrially produced vehicle,87.516,70.89041045,100,TRUE,TRUE,
201,Burkina Faso,vitamin a,industry oil,percent of population eating industrially produced vehicle,73.76,59.74766528,87.77233472,TRUE,TRUE,
205,C么te d'Ivoire,vitamin a,industry oil,percent of population eating industrially produced vehicle,72,58.322016,85.677984,TRUE,TRUE,
202,Cameroon,vitamin a,industry oil,percent of population eating industrially produced vehicle,72,58.322016,85.677984,TRUE,TRUE,
6,China,vitamin a,industry oil,percent of population eating industrially produced vehicle,96.53,78.19200284,100,TRUE,TRUE,
171,Democratic Republic of the Congo,vitamin a,industry oil,percent of population eating industrially produced vehicle,76.72,62.14534816,91.29465184,TRUE,TRUE,
141,Egypt,vitamin a,industry oil,percent of population eating industrially produced vehicle,64,51.841792,76.158208,TRUE,TRUE,
179,Ethiopia,vitamin a,industry oil,percent of population eating industrially produced vehicle,71.25,57.714495,84.785505,TRUE,TRUE,
207,Ghana,vitamin a,industry oil,percent of population eating industrially produced vehicle,78.392,63.49971498,93.28428502,TRUE,TRUE,
163,India,vitamin a,industry oil,percent of population eating industrially produced vehicle,84.93,68.79567804,100,TRUE,TRUE,
11,Indonesia,vitamin a,industry oil,percent of population eating industrially produced vehicle,83.6384,67.74944588,99.52735412,TRUE,TRUE,
180,Kenya,vitamin a,industry oil,percent of population eating industrially produced vehicle,72,58.322016,85.677984,TRUE,TRUE,
181,Madagascar,vitamin a,industry oil,percent of population eating industrially produced vehicle,60,48.60168,71.39832,TRUE,TRUE,
184,Mozambique,vitamin a,industry oil,percent of population eating industrially produced vehicle,76.16,61.69173248,90.62826752,TRUE,TRUE,
15,Myanmar,vitamin a,industry oil,percent of population eating industrially produced vehicle,76,61.562128,90.437872,TRUE,TRUE,
164,Nepal,vitamin a,industry oil,percent of population eating industrially produced vehicle,88.5226,71.70578463,100,TRUE,TRUE,
213,Niger,vitamin a,industry oil,percent of population eating industrially produced vehicle,60.3,48.8446884,71.7553116,TRUE,TRUE,
214,Nigeria,vitamin a,industry oil,percent of population eating industrially produced vehicle,78.8,63.8302064,93.7697936,TRUE,TRUE,
165,Pakistan,vitamin a,industry oil,percent of population eating industrially produced vehicle,89.1,72.1734948,100,TRUE,TRUE,
196,South Africa,vitamin a,industry oil,percent of population eating industrially produced vehicle,81.9,66.3412932,97.4587068,TRUE,TRUE,
522,Sudan,vitamin a,industry oil,percent of population eating industrially produced vehicle,64,51.841792,76.158208,TRUE,TRUE,
190,Uganda,vitamin a,industry oil,percent of population eating industrially produced vehicle,80.011,64.81115031,95.21084969,TRUE,TRUE,
189,United Republic of Tanzania,vitamin a,industry oil,percent of population eating industrially produced vehicle,67.34,54.54728552,80.13271448,TRUE,TRUE,
20,Viet Nam,vitamin a,industry oil,percent of population eating industrially produced vehicle,81,65.612268,96.387732,TRUE,TRUE,
168,Angola,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.05014,5.94986,TRUE,TRUE,
161,Bangladesh,vitamin a,industry oil,percent of population eating fortified vehicle,42.8,34.6691984,50.9308016,TRUE,TRUE,
201,Burkina Faso,vitamin a,industry oil,percent of population eating fortified vehicle,23,18.630644,27.369356,TRUE,TRUE,
205,C么te d'Ivoire,vitamin a,industry oil,percent of population eating fortified vehicle,30.5,24.705854,36.294146,TRUE,TRUE,
202,Cameroon,vitamin a,industry oil,percent of population eating fortified vehicle,20,16.20056,23.79944,TRUE,TRUE,
6,China,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.05014,5.94986,TRUE,TRUE,
171,Democratic Republic of the Congo,vitamin a,industry oil,percent of population eating fortified vehicle,3,2.430084,3.569916,TRUE,TRUE,
141,Egypt,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.05014,5.94986,TRUE,TRUE,
179,Ethiopia,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.05014,5.94986,TRUE,TRUE,
207,Ghana,vitamin a,industry oil,percent of population eating fortified vehicle,32.9,26.6499212,39.1500788,TRUE,TRUE,
163,India,vitamin a,industry oil,percent of population eating fortified vehicle,15,12.15042,17.84958,TRUE,TRUE,
11,Indonesia,vitamin a,industry oil,percent of population eating fortified vehicle,43.8,35.4792264,52.1207736,TRUE,TRUE,
180,Kenya,vitamin a,industry oil,percent of population eating fortified vehicle,50,40.5014,59.4986,TRUE,TRUE,
181,Madagascar,vitamin a,industry oil,percent of population eating fortified vehicle,3,2.430084,3.569916,TRUE,TRUE,
184,Mozambique,vitamin a,industry oil,percent of population eating fortified vehicle,37.6,30.4570528,44.7429472,TRUE,TRUE,
15,Myanmar,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
164,Nepal,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
213,Niger,vitamin a,industry oil,percent of population eating fortified vehicle,5,4.05014,5.94986,TRUE,TRUE,
214,Nigeria,vitamin a,industry oil,percent of population eating fortified vehicle,32,25.920896,38.079104,TRUE,TRUE,
165,Pakistan,vitamin a,industry oil,percent of population eating fortified vehicle,75,60.7521,89.2479,TRUE,TRUE,
196,South Africa,vitamin a,industry oil,percent of population eating fortified vehicle,3,2.430084,3.569916,TRUE,TRUE,
522,Sudan,vitamin a,industry oil,percent of population eating fortified vehicle,0,0,0,TRUE,TRUE,
