location_id,location_name,sub_population,vehicle,metric,mass_unit,time_unit,pop_denom,value_mean,lower,upper
163,India,total population,rice,mean,g,day,capita,282.77,170.80011091988092,394.73988908011904
163,India,total population,salt,mean,g,day,consumers,9.5,5.738236212253311,13.26176378774669
163,India,total population,wheat flour,mean,g,day,capita,169.62,113.13485976241066,226.10514023758935
179,Ethiopia,total population,maize flour,mean,g,day,capita,113.84,68.7621905687281,158.9178094312719
179,Ethiopia,total population,salt,mean,g,day,capita,5.8,3.5033442137967583,8.096655786203241
179,Ethiopia,total population,wheat flour,mean,g,day,capita,97.64,65.12491278859673,130.15508721140327
214,Nigeria,total population,maize flour,mean,g,day,capita,95.1,57.44276460897788,132.7572353910221
214,Nigeria,total population,salt,mean,g,day,consumers,7.2,4.348979024023562,10.051020975976439
214,Nigeria,total population,wheat flour,mean,g,day,capita,49.15,32.78256312535363,65.51743687464636
214,Nigeria,women of reproductive age,bouillon,mean,g,day,consumers,2.668675217625471,2.7435218968364103,7.256478103163589
214,Nigeria,women of reproductive age,rice,mean,g,day,consumers,91.36747869963301,106.9124010072459,247.0875989927541
