location_name,vehicle,percent_of_population_eating_industrially_produced_vehicle
Angola,oil,36.783381462833795
Bangladesh,oil,87.94999999999995
Burkina Faso,oil,51.975594182651086
Cameroon,oil,72.82920068161755
China,oil,72.29039846717937
Côte d'Ivoire,oil,98.0
Democratic Republic of the Congo,oil,41.52882301231375
Egypt,oil,89.56734796390364
Ethiopia,oil,57.20000000000001
Ghana,oil,89.36044400349495
India,oil,89.4
Indonesia,oil,73.7116318326932
Kenya,oil,9.39
Madagascar,oil,82.79820101957417
Mozambique,oil,43.19157917614623
Myanmar,oil,10.0
Nepal,oil,74.74764959980764
Niger,oil,54.30066937627028
Nigeria,oil,29.299999999999997
Pakistan,oil,92.0
South Africa,oil,81.71695585849979
Sudan,oil,80.0
Uganda,oil,71.5
United Republic of Tanzania,oil,73.3
Viet Nam,oil,90.0
