location_name,vehicle,nutrient,value_description,n_data_points,mean_mean,value_means
Angola,maize flour,folic acid,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,iron,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,zinc,percent of market covered by fortified product,0,,[nan]
Angola,maize flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,iron,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Angola,maize flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Angola,maize flour,na,percent of population eating vehicle,0,,[nan]
Angola,maize flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,iron,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,zinc,percent of vehicle that is fortified,0,,[nan]
Angola,maize flour,na,percent of vehicle that is industrially produced,1,0.0,[0.0]
Angola,oil,vitamin a,percent of market covered by fortified product,0,,[nan]
Angola,oil,vitamin d,percent of market covered by fortified product,0,,[nan]
Angola,oil,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Angola,oil,vitamin d,percent of population eating fortified vehicle,0,,[nan]
Angola,oil,na,percent of population eating industrially produced vehicle,0,,[nan]
Angola,oil,na,percent of population eating vehicle,0,,[nan]
Angola,oil,vitamin a,percent of vehicle that is fortified,0,,[nan]
Angola,oil,vitamin d,percent of vehicle that is fortified,0,,[nan]
Angola,oil,na,percent of vehicle that is industrially produced,0,,[nan]
Angola,wheat flour,folic acid,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,iron,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,vitamin a,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,vitamin b1,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,vitamin b12,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,zinc,percent of market covered by fortified product,0,,[nan]
Angola,wheat flour,folic acid,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,iron,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,vitamin a,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,vitamin b1,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,vitamin b12,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,zinc,percent of population eating fortified vehicle,0,,[nan]
Angola,wheat flour,na,percent of population eating industrially produced vehicle,0,,[nan]
Angola,wheat flour,na,percent of population eating vehicle,0,,[nan]
Angola,wheat flour,folic acid,percent of vehicle that is fortified,0,,[nan]
Angola,wheat flour,iron,percent of vehicle that is fortified,0,,[nan]
Angola,wheat flour,vitamin a,percent of vehicle that is fortified,0,,[nan]
Angola,wheat flour,vitamin b1,percent of vehicle that is fortified,0,,[nan]
Angola,wheat flour,vitamin b12,percent of vehicle that is fortified,0,,[nan]
Angola,wheat flour,zinc,percent of vehicle that is fortified,0,,[nan]
