location_id,location_name,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,sub_population,estimation_status,source_citation,source_link,data_choice_notes,CI_source
161,Bangladesh,oil,percent of population eating fortified vehicle,vitamin a,42.849571999999995,41.35621832612362,44.34292567387637,,multiplicative,,,,modeling
161,Bangladesh,oil,percent of population eating industrially produced vehicle,na,88.4,84.5,92.3,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,"Keeping Aaron number (88%) and descarding Raghavan number (87%), as they are very similar, from the same year, and the Aaron number has uncertainty",extraction
161,Bangladesh,oil,percent of population eating vehicle,na,100.0,96.51489243842067,100.0,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,"Keeping Aaron (survey data) number from 2015 (100%), discarding Fiedler number (51-90%) from 2005, and discarding Levyraz number from 2011 (99.8%)",modeling
161,Bangladesh,wheat flour,percent of population eating fortified vehicle,folic acid,0.155875,0.11628321784056578,0.19546678215943425,,multiplicative,,,,modeling
161,Bangladesh,wheat flour,percent of population eating fortified vehicle,iron,0.155875,0.11628321784056578,0.19546678215943425,,multiplicative,,,,modeling
161,Bangladesh,wheat flour,percent of population eating fortified vehicle,vitamin a,0.155875,0.11628321784056578,0.19546678215943425,,multiplicative,,,,modeling
161,Bangladesh,wheat flour,percent of population eating fortified vehicle,zinc,0.155875,0.11628321784056578,0.19546678215943425,,multiplicative,,,,modeling
161,Bangladesh,wheat flour,percent of population eating industrially produced vehicle,na,38.241333333333344,28.528149443552145,47.95451722311454,,multiplicative,,,,modeling
161,Bangladesh,wheat flour,percent of population eating vehicle,na,41.9,31.257525757945185,52.54247424205481,women of reproductive age,na,"Leyvraz M, Laillou A, Rahman S, et al. An Assessment of the Potential Impact of Fortification of Staples and Condiments on Micronutrient Intake of Young Children and Women of Reproductive Age in Bangladesh. Nutrients 2016; 8: 541.",https://www.mdpi.com/2072-6643/8/9/541/htm,"Keeping Levyraz numbers (42% and 76%), as they are u5- and WRA- specfic and more recent (2011). Discarding 2005 Fiedler all-populaion numbers",modeling
161,Bangladesh,wheat flour,percent of population eating vehicle,na,76.2,56.84542870538003,95.55457129461998,under-5,na,"Leyvraz M, Laillou A, Rahman S, et al. An Assessment of the Potential Impact of Fortification of Staples and Condiments on Micronutrient Intake of Young Children and Women of Reproductive Age in Bangladesh. Nutrients 2016; 8: 541.",https://www.mdpi.com/2072-6643/8/9/541/htm,"Keeping Levyraz numbers (42% and 76%), as they are u5- and WRA- specfic and more recent (2011). Discarding 2005 Fiedler all-populaion numbers",modeling
165,Pakistan,oil,percent of population eating fortified vehicle,vitamin a,28.492582408768712,0.0,29.48557955278593,total population,na,,https://www.gainhealth.org/sites/default/files/publications/documents/pakistan-fact-survey-2017-final-report-aug2018-corrected.pdf,Only one source,modeling
165,Pakistan,oil,percent of population eating industrially produced vehicle,na,85.0,0.0,87.96234142734242,total population,na,,https://fortificationdata.org/full-gfdx-datasets/,"Kept GFDx number (85%), discarded FACT survey number (99%), which asked about both oil and ghee",modeling
165,Pakistan,oil,percent of population eating vehicle,na,100.0,100.0,100.0,total population,na,,https://www.gainhealth.org/sites/default/files/publications/documents/pakistan-fact-survey-2017-final-report-aug2018-corrected.pdf,Only one source,extraction
165,Pakistan,wheat flour,percent of population eating fortified vehicle,folic acid,1.9466666666666663,0.0,2.4411141573078763,,multiplicative,,na,,modeling
165,Pakistan,wheat flour,percent of population eating fortified vehicle,iron,3.82123947024155,0.0,4.791822826679948,total population,na,,https://www.gainhealth.org/sites/default/files/publications/documents/pakistan-fact-survey-2017-final-report-aug2018-corrected.pdf,Only one source,modeling
165,Pakistan,wheat flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,,lack of evidence,,na,,extraction
165,Pakistan,wheat flour,percent of population eating fortified vehicle,zinc,1.9466666666666663,0.0,2.4411141573078763,,multiplicative,,na,,modeling
165,Pakistan,wheat flour,percent of population eating industrially produced vehicle,na,41.52578576674592,0.0,52.073210716714414,total population,na,,https://www.gainhealth.org/sites/default/files/publications/documents/pakistan-fact-survey-2017-final-report-aug2018-corrected.pdf,Only one source,modeling
165,Pakistan,wheat flour,percent of population eating vehicle,na,100.0,100.0,100.0,total population,na,,https://www.gainhealth.org/sites/default/files/publications/documents/pakistan-fact-survey-2017-final-report-aug2018-corrected.pdf,Only one source,extraction
190,Uganda,oil,percent of population eating fortified vehicle,vitamin a,54.4,48.3,60.4,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245770",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
190,Uganda,oil,percent of population eating industrially produced vehicle,na,89.0,84.7,93.2,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245770",https://doi.org/10.3945/jn.116.245753,GFDx held the same values (89%); took this over a number from a 2011 metanalysis (54%) on the efficacy of different vehicles for fortification,extraction
190,Uganda,oil,percent of population eating vehicle,na,89.9,85.9,94.0,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245770",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
190,Uganda,wheat flour,percent of population eating fortified vehicle,folic acid,8.5,5.7,11.4,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245776",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
190,Uganda,wheat flour,percent of population eating fortified vehicle,iron,8.5,5.7,11.4,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245777",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
190,Uganda,wheat flour,percent of population eating fortified vehicle,vitamin a,8.5,5.7,11.4,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245778",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
190,Uganda,wheat flour,percent of population eating fortified vehicle,zinc,8.5,5.7,11.4,total population,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245780",https://doi.org/10.3945/jn.116.245753,All sources (Aaron and GFDx) agreed.,extraction
