location_name,vehicle,value_description,nutrient,value_mean,value_025_percentile,value_975_percentile,sub_population,estimation_status,source_citation,source_link,data_choice_notes,CI_source
Cameroon,maize flour,percent of population eating vehicle,na,47.29958091948238,25.263374936138867,69.3357869028259,,regression,,,,modeling
Cameroon,maize flour,percent of population eating industrially produced vehicle,na,9.278994770779281,4.9560423024406415,13.601947239117921,,regression,,,,modeling
Cameroon,maize flour,percent of population eating fortified vehicle,folic acid,6.13562800557401,3.277125669196869,8.994130341951152,,regression,,,,modeling
Cameroon,maize flour,percent of population eating fortified vehicle,iron,6.13562800557401,3.277125669196869,8.994130341951152,,regression,,,,modeling
Cameroon,maize flour,percent of population eating fortified vehicle,vitamin a,6.13562800557401,3.277125669196869,8.994130341951152,,regression,,,,modeling
Cameroon,maize flour,percent of population eating fortified vehicle,zinc,6.13562800557401,3.277125669196869,8.994130341951152,,regression,,,,modeling
Cameroon,oil,percent of population eating vehicle,na,53.1,52.58649280016575,53.61350719983425,under-5,na,"Engle-Stone R, Ndjebayi AO, Nankap M, Brown KH. Consumption of potentially fortifiable foods by women and young children varies by ecological zone and socio-economic status in Cameroon. J Nutr. 2012; 142:555–65.",https://watermark.silverchair.com/555.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAApwwggKYBgkqhkiG9w0BBwagggKJMIIChQIBADCCAn4GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMn_soYhAtQtvAi107AgEQgIICT5r8TmLQR0-9pd8nkDtR61cJQtEHhul7zUPrRjqErDUE3pObez-wb6rY2sLYsGgP-qNviENhJhu2SREpzbfvXxOV4fZpfcvgumrqQ1n14nf277ZAG2XDRLZst3fp3eS2EicvbJheDjVUlS-IOJJAWR2jqCaSEe1i92wDvkt7uPy6YFeNDmuBxfKtm0kicDJZTD5Y-4ucXPLNvczmpDqGX8Lp_Hr9abRU2_1n54EH62FBcIlgAF0I67Vf0SHdzaY2DM27tpcA_syt1OryvXEgfWLtQGWiXn7vo7C1ATH6LcnO9XNck1yqEQ7nyhyrT-u4ZrXZOwxFM1NoMBeDC3TKnHahgXQ8r-xPv_piv81B_IMaYAC6vhcZlJBDugvVNyGmZav7Sochr1dT8S00PetC0e5qcwQFwWQ-xaqoFbc_73n2sGkwBgxyFdCNgXXldKT9mi5PUYGVaigg3diwKX0FeUDBi7M4OV_9n70drXC66vwfRNwEZLa41DVFtkykxdaU6jFK7khYzbTA-jF_VRApQnxgM7kbiBC5KTR8NXo56j9i8kvr8OTUgHA4-tS5zURCqnENdNXX-SJ0TAKKO2fNyike8vQKHlWoeraXcIa-YKfHI9B99vsVopckpOQ594CCJ-fE7l08NaQoLyDU_WQTpu_qQkkDAPNnEPyh73FaOEPm01VTSBOK4ZcpB9r-OvgPEIfK_pm2Wjq1knBvJoLNjsltK0sOEU1v4e2tepEfaXBcI6-kzRCw4sqdMr4P1zU4kkuNUPlwhCH5JfMLTTtRuA,"Keeping 53.1% for mixed/both urbanicity from Engle-Stone et al. 2012. Discarding values for urban populations (81.2%, 91.7%) from Engle-Stone et al. 2017. Confidence intervals missing, but same source reports percent of WRA consuming oil is 54.1% (48.5%, 59.7%)",modeling
Cameroon,oil,percent of population eating industrially produced vehicle,na,73.9157723939672,72.48615727887825,75.34538750905615,,regression,,,,modeling
Cameroon,oil,percent of population eating fortified vehicle,vitamin a,30.49690000000001,30.201977632342288,30.791822367657733,,multiplicative,,,,modeling
Cameroon,wheat flour,percent of population eating vehicle,na,92.0,90.0,94.0,women of reproductive age,na,"Hess SY, Brown KH, Sablah M, Engle-Stone R, Aaron GJ, Baker SK. Results of Fortification Rapid Assessment Tool (FRAT) surveys in sub-Saharan Africa and suggestions for future modifications of the survey instrument. Food Nutr Bull. 2013 Mar;34(1):21-38. doi: 10.1177/156482651303400104. PMID: 23767278.",https://journals.sagepub.com/doi/pdf/10.1177/156482651303400104,"Keeping value from Hess et al. (92%) for mixed/both urbanicity from 2011 FRAT survey. Value from Engle-Stone et al. 2012 from 2009 survey was similar (92.2%). Discarding values for urban populations (98%, 97.6%, 95.2%) from Engle-Stone et al. 2012 and Engle-Stone et al. 2016, and for Southern and Northern Ecological Zones (91.2%, 89.8%) from Engle-Stone et al. 2012. ",extraction
Cameroon,wheat flour,percent of population eating vehicle,na,94.0,92.0,96.0,under-5,na,"Hess SY, Brown KH, Sablah M, Engle-Stone R, Aaron GJ, Baker SK. Results of Fortification Rapid Assessment Tool (FRAT) surveys in sub-Saharan Africa and suggestions for future modifications of the survey instrument. Food Nutr Bull. 2013 Mar;34(1):21-38. doi: 10.1177/156482651303400104. PMID: 23767278.",https://journals.sagepub.com/doi/pdf/10.1177/156482651303400104,"Keeping value from Hess et al. (94%) from 2011 FRAT survey for percent of population eating wheat flour. Discarding older value (93.7%) with no uncertainty from Engle-Stone et al. 2009. Discarding estimates for urban population (98.4% in 2012, 97% in 2009) from Engle-Stone et al. 2016.",extraction
Cameroon,wheat flour,percent of population eating industrially produced vehicle,na,75.57090909090911,26.86517475590786,100.0,,regression,,,,modeling
Cameroon,wheat flour,percent of population eating fortified vehicle,folic acid,69.52523636363635,47.12059856953579,91.92987415773692,,multiplicative,,,,modeling
Cameroon,wheat flour,percent of population eating fortified vehicle,iron,53.088563636363624,35.980674451194446,70.1964528215328,,multiplicative,,,,modeling
Cameroon,wheat flour,percent of population eating fortified vehicle,vitamin a,49.06205113636362,17.441375173562047,80.68272709916519,,regression,,,,modeling
Cameroon,wheat flour,percent of population eating fortified vehicle,zinc,69.52523636363635,47.12059856953579,91.92987415773692,,multiplicative,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating vehicle,na,84.90764269247572,45.35037246810346,100.0,,regression,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating industrially produced vehicle,na,5.387876467075088,2.8777410000529615,7.898011934097215,,regression,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,folic acid,22.793768206924888,12.174473879572947,33.41306253427683,,regression,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,iron,22.793768206924888,12.174473879572947,33.41306253427683,,regression,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,vitamin a,22.793768206924888,12.174473879572947,33.41306253427683,,regression,,,,modeling
Côte d'Ivoire,maize flour,percent of population eating fortified vehicle,zinc,22.793768206924888,12.174473879572947,33.41306253427683,,regression,,,,modeling
Côte d'Ivoire,oil,percent of population eating vehicle,na,98.5,97.5,99.3,households with children <2 years old,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,Only one source,extraction
Côte d'Ivoire,oil,percent of population eating industrially produced vehicle,na,98.0,97.0,99.0,households with children <2 years old,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,Only one source,extraction
Côte d'Ivoire,oil,percent of population eating fortified vehicle,vitamin a,75.0,74.27470734486688,75.72529265513312,total population,na,"Sablah M, Klopp J, Steinberg D, Touaoro Z, Laillou A, Baker S. Thriving public-private partnership to fortify cooking oil in the West African Economic and Monetary Union (UEMOA) to control vitamin A deficiency: Faire Tache d'Huile en Afrique de l'Ouest. Food Nutr Bull. 2012 Dec;33(4 Suppl):S310-20. doi: 10.1177/15648265120334S307. PMID: 23444712.",https://pubmed.ncbi.nlm.nih.gov/23444712/,Keeping Sablah et al. estimate of 75% from 2013. Discarding Grant et al. estimate of 98% from 2014 because it is only for Abidjan.,modeling
Côte d'Ivoire,wheat flour,percent of population eating vehicle,na,54.7,50.1,59.6,households with children <2 years old,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,Only one source,extraction
Côte d'Ivoire,wheat flour,percent of population eating industrially produced vehicle,na,10.2,7.5,13.1,households with children <2 years old,na,"Grant J Aaron, Valerie M Friesen, Svenja Jungjohann, Greg S Garrett, Lynnette M Neufeld, Mark Myatt, Coverage of Large-Scale Food Fortification of Edible Oil, Wheat Flour, and Maize Flour Varies Greatly by Vehicle and Country but Is Consistently Lower among the Most Vulnerable: Results from Coverage Surveys in 8 Countries, The Journal of Nutrition, Volume 147, Issue 5, May 2017, Pages 984S–994S, https://doi.org/10.3945/jn.116.245753",https://doi.org/10.3945/jn.116.245753,Only one source,extraction
Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,folic acid,10.599703333333334,3.768154781203168,17.4312518854635,,regression,,,,modeling
Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,iron,13.4015,9.082841494083997,17.720158505916004,,multiplicative,,,,modeling
Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,vitamin a,10.599703333333334,3.768154781203168,17.4312518854635,,regression,,,,modeling
Côte d'Ivoire,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,maize flour,percent of population eating vehicle,na,42.19097558826121,32.362886093305534,52.01906508321689,under-5,na,"Moumin, N. A., Angel, M. D., Karakochuk, C. D., Michaux, K. D., Moursi, M., Sawadogo, K. A. A., ... & Bahizire, E. (2020). Micronutrient intake and prevalence of micronutrient inadequacy among women (15-49 y) and children (6-59 mo) in South Kivu and Kongo Central, Democratic Republic of the Congo (DRC). Plos one, 15(6), e0223393.",https://www-ncbi-nlm-nih-gov.offcampus.lib.washington.edu/pmc/articles/PMC7292409/,"Discareded WRA data from same survey, in addition to u5 data from 1991 sampled from Bwamanda, as this was sampled from two provinces (South Kivu and Kongo central), in addition to data from small / rural villages in kisangani from termote paper)",modeling
Democratic Republic of the Congo,maize flour,percent of population eating industrially produced vehicle,na,2.26275,1.7356583839697137,2.7898416160302864,,multiplicative,,,,modeling
Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,,regression,,,,modeling
Democratic Republic of the Congo,maize flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,oil,percent of population eating vehicle,na,95.88199999999999,81.1,96.80923347145963,,na,"Termote, C., Meyi, M. B., Djailo, B. D. A., Huybregts, L., Lachat, C., Kolsteren, P., & Van Damme, P. (2012). A biodiverse rich environment does not contribute to a better diet: a case study from DR Congo. PloS one, 7(1), e30533., Kismul, Hallgeir et al. “Diet and kwashiorkor: a prospective study from rural DR Congo.” PeerJ vol. 2 e350. 15 Apr. 2014, doi:10.7717/peerj.350, Donn, P., Nchuaji, T. E., Ngondi, J., Tieguhong, J. C., Iponga, D., Tchingsabe, O., ... & Kahindo, J. M. (2015). Nutrition in transition: current dietary trends around forest concessions of the Congo Basin. American Journal of Pharmacy & Health Research.","https://www-ncbi-nlm-nih-gov.offcampus.lib.washington.edu/pmc/articles/PMC3265488/, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3994641/, https://www.researchgate.net/publication/284725658_Nutrition_in_Transition_Current_Dietary_Trends_around_Forest_Concessions_of_the_Congo_Basin","Took mean of five different subnational estimates from different years for u5, total population, or women",modeling
Democratic Republic of the Congo,oil,percent of population eating industrially produced vehicle,na,41.31817210728979,40.519031660544634,42.117312554034946,,regression,,,,modeling
Democratic Republic of the Congo,oil,percent of population eating fortified vehicle,vitamin a,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,wheat flour,percent of population eating vehicle,na,0.58,0.0,1.4,under-5,na,"Kismul, Hallgeir et al. “Diet and kwashiorkor: a prospective study from rural DR Congo.” PeerJ vol. 2 e350. 15 Apr. 2014, doi:10.7717/peerj.350",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3994641/,Only one source. Note: This data is from a 1989-1991 survey in the rural district of Bwamanda.,extraction
Democratic Republic of the Congo,wheat flour,percent of population eating industrially produced vehicle,na,0.58,0.39309391236568425,0.7669060876343157,,multiplicative,,,,modeling
Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,folic acid,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,iron,0.0,0.0,0.0,,multiplicative,,,,modeling
Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,vitamin a,0.039875,0.014175412950281591,0.06557458704971841,,regression,,,,modeling
Democratic Republic of the Congo,wheat flour,percent of population eating fortified vehicle,zinc,0.0,0.0,0.0,,multiplicative,,,,modeling
Indonesia,oil,percent of population eating vehicle,na,94.3729763921413,92.5476956822674,96.19825710201519,,regression,,,,modeling
Indonesia,oil,percent of population eating industrially produced vehicle,na,64.47332279397448,63.22633539465457,65.72031019329438,,regression,,,,modeling
Indonesia,oil,percent of population eating fortified vehicle,vitamin a,21.77387313008408,21.35274165661607,22.19500460355209,,regression,,,,modeling
Indonesia,wheat flour,percent of population eating vehicle,na,75.72876295738334,26.921291213414335,100.0,,regression,,,,modeling
Indonesia,wheat flour,percent of population eating industrially produced vehicle,na,27.574571326267712,9.802656689074325,45.3464859634611,,regression,,,,modeling
Indonesia,wheat flour,percent of population eating fortified vehicle,folic acid,73.1,49.54338792057159,96.6566120794284,total population,na,,https://www.thejakartapost.com/academia/2020/06/06/combating-consequences-of-pandemic-with-fortified-food-staples.html,Only one source,modeling
Indonesia,wheat flour,percent of population eating fortified vehicle,iron,73.1,49.54338792057159,96.6566120794284,total population,na,,https://www.thejakartapost.com/academia/2020/06/06/combating-consequences-of-pandemic-with-fortified-food-staples.html,Only one source,modeling
Indonesia,wheat flour,percent of population eating fortified vehicle,vitamin a,73.10000000000001,25.986775841143185,100.0,,regression,,,,modeling
Indonesia,wheat flour,percent of population eating fortified vehicle,zinc,73.1,49.54338792057159,96.6566120794284,total population,na,,https://www.thejakartapost.com/academia/2020/06/06/combating-consequences-of-pandemic-with-fortified-food-staples.html,Only one source,modeling
Mozambique,maize flour,percent of population eating vehicle,na,79.9,61.287859851587726,98.51214014841229,total population,na,GFDX,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MOZ&lang=en,Only one source.,modeling
Mozambique,maize flour,percent of population eating industrially produced vehicle,na,23.97,18.386357955476313,29.553642044523684,,multiplicative,,,,modeling
Mozambique,maize flour,percent of population eating fortified vehicle,folic acid,16.779,12.870450568833421,20.68754943116658,,multiplicative,,,,modeling
Mozambique,maize flour,percent of population eating fortified vehicle,iron,16.779,12.870450568833421,20.68754943116658,,multiplicative,,,,modeling
Mozambique,maize flour,percent of population eating fortified vehicle,vitamin a,16.779,12.870450568833421,20.68754943116658,,multiplicative,,,,modeling
Mozambique,maize flour,percent of population eating fortified vehicle,zinc,16.779,12.870450568833421,20.68754943116658,,multiplicative,,,,modeling
Mozambique,oil,percent of population eating vehicle,na,95.2,94.2793618564177,96.12063814358231,total population,na,GFDX,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MOZ&lang=en,"Keeping GFDx value (95.2%) for total population from 2013 survey. Discarding similar Hess et al. value (98%) from 2010 for WRA, as it is older and only from urban populations.",modeling
Mozambique,oil,percent of population eating industrially produced vehicle,na,43.439070311199,42.598909280731704,44.2792313416663,,regression,,,,modeling
Mozambique,oil,percent of population eating fortified vehicle,vitamin a,37.5774,37.214005170413344,37.94079482958665,,multiplicative,,,,modeling
Mozambique,wheat flour,percent of population eating vehicle,na,16.3,11.047294433725266,21.552705566274735,total population,na,GFDX,https://fortificationdata.org/country-fortification-dashboard/?alpha3_code=MOZ&lang=en,"Keeping GFDx estimate (16.3%), as it is more recent  (2012-2013, 2017), presumably applies nationally to both urban and rural populations, and cites credible sources including micronutrient surveys and HKI. Discarding estimates from Hess et al. 2010 (92% for WRA, 81% for U5) from FRAT survey, as these were for urban populations only, despite the fact that these numbers also seem credible. We don't have a good way to average the GFDx number and the Hess numbers because we are missing numbers for rural populations, and the values are so different that a simple average seems like it would give the wrong answer.",modeling
Mozambique,wheat flour,percent of population eating industrially produced vehicle,na,16.3,11.047294433725266,21.552705566274735,,multiplicative,,,,modeling
